timestamp,volcano_filter,alert_lvl,lat,long,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,max_time,jarak_km,luas_km2,sudut_deg,radius_km
2025-06-12 20:07:00 UTC,Raung,Orange,-8.125,114.0419444,3332,900,,180,4,,,,,
2025-06-12 19:20:00 UTC,Raung,Orange,-8.125,114.0419444,3332,400,,180,3,,,,,
2025-06-11 22:41:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1000,,180,4,,,,,
2025-06-11 21:30:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1000,,135,4,,,,,
2025-06-11 20:00:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1000,,135,4,,,,,
2025-06-11 19:05:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1000,,135,4,,,,,
2025-06-11 17:55:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1000,,180,4,,,,,
2025-06-11 12:50:00 UTC,Raung,Orange,-8.125,114.0419444,3332,600,,22.5,3,,,,,
2025-06-11 02:18:00 UTC,Raung,Orange,-8.125,114.0419444,3332,750,,67.5,3,,,,,
2025-06-08 16:29:00 UTC,Raung,Orange,-8.125,114.0419444,3332,400,,315,2,,,,,
2025-06-06 05:11:00 UTC,Raung,Orange,-8.125,114.0419444,3332,600,,22.5,4,,,,,
2025-06-05 05:28:00 UTC,Raung,Orange,-8.125,114.0419444,3332,600,,45,2,,,,,
2025-05-15 22:51:00 UTC,Raung,Yellow,-8.125,114.0419444,3332,1250,,202.5,5,,,,,
2025-05-08 22:09:00 UTC,Raung,Yellow,-8.125,114.0419444,3332,1000,,337.5,9,,,,,
2025-03-12 23:59:00 UTC,Raung,Orange,-8.125,114.0419444,3332,1500,,292.5,7,34,,,,
2024-12-24 02:30:00 UTC,Raung,Orange,-8.125,114.0419444,3332,2000,,90,32,282,,,,
2024-12-15 13:03:00 UTC,Raung,Yellow,-8.125,114.0419444,3332,500,,112.5,9,,,,,
2021-02-13 11:06:00 UTC,Raung,Orange,-8.125,114.0419444,3332,12821,,67.5,,,,,,
2021-02-10 10:47:00 UTC,Raung,Orange,-8.125,114.0419444,3332,16021,,112.5,,,,,,
2021-02-09 23:43:00 UTC,Raung,Orange,-8.125,114.0419444,3332,16021,,90,,,,,,
2021-02-09 16:40:00 UTC,Raung,Orange,-8.125,114.0419444,3332,16021,,90,,,,,,
2021-02-09 01:14:00 UTC,Raung,Yellow,-8.125,114.0419444,3332,17621,,90,,,,,,
2021-02-08 23:47:00 UTC,Raung,Orange,-8.125,114.0419444,3332,16021,,90,,,,,,
2021-02-07 22:48:00 UTC,Raung,Orange,-8.125,114.0419444,3332,16021,,112.5,,,,,,
2021-02-07 13:37:00 UTC,Raung,Orange,-8.125,114.0419444,3332,13461,,90,,,,,,
2021-02-06 22:49:00 UTC,Raung,Orange,-8.125,114.0419444,3332,12821,,112.5,,,,,,
2021-02-06 12:41:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11541,,90,,,,,,
2021-02-03 23:12:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,90,,,,,,
2021-02-02 16:55:00 UTC,Raung,Orange,-8.125,114.0419444,3332,12821,,90,,,,,,
2021-02-01 23:08:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,90,,,,,,
2021-02-01 06:53:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,90,,,,,,
2021-01-27 20:08:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11861,,,,,,,,
2020-07-16 08:49:00 UTC,Raung,Orange,-8.125,114.0419444,3332,10261,,0,,,,,,
2020-07-16 07:45:00 UTC,Raung,Orange,-8.125,114.0419444,3332,9941,,0,10,56,,,,
2021-01-24 11:19:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,,,,,,,
2021-01-23 09:14:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11541,,,,,,,,
2021-01-23 00:08:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,,,,,,,
2021-01-22 13:34:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,90,,,,,,
2021-01-22 00:13:00 UTC,Raung,Orange,-8.125,114.0419444,3332,11221,,90,,,,,,
